artist_id,artist_name,album_id,album_name,genres,followers,popularity,link_image,url,album_type,total_tracks,release_date,release_date_precision,track_id,name,preview,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
00AFbqxvdDK6T1D6MQZ9c1,GLAY,0rWkjySGI1Ttr4MS7xTQNA,rare collectives vol.4,classic j-pop,590825,56,https://i.scdn.co/image/ab6761610000e5ebc200887e058b56ca63e60ead,https://open.spotify.com/artist/00AFbqxvdDK6T1D6MQZ9c1,album,21,2011-03-09,day,0S4KyJaOiskc3a2Obpbs6H,LET ME BE (RATW Ver.),https://p.scdn.co/mp3-preview/a0242dbb49520c23effaf635cbaa9d4bb8874c98?cid=d636b62692f94f7ab8495b4d490e26cc,0.565,0.33,4,-10.697,1,0.0315,0.952,1.75E-4,0.104,0.25,74.979,4
00AFbqxvdDK6T1D6MQZ9c1,GLAY,0rWkjySGI1Ttr4MS7xTQNA,rare collectives vol.4,j-pop,590825,56,https://i.scdn.co/image/ab6761610000e5ebc200887e058b56ca63e60ead,https://open.spotify.com/artist/00AFbqxvdDK6T1D6MQZ9c1,album,21,2011-03-09,day,0S4KyJaOiskc3a2Obpbs6H,LET ME BE (RATW Ver.),https://p.scdn.co/mp3-preview/a0242dbb49520c23effaf635cbaa9d4bb8874c98?cid=d636b62692f94f7ab8495b4d490e26cc,0.565,0.33,4,-10.697,1,0.0315,0.952,1.75E-4,0.104,0.25,74.979,4
00PLVqZ4oaOmbI4lacLUBO,Stiftelsen,6vYiIkw80Btuehht8d0C8n,Allting låter som Slipknot,classic swedish pop,237999,53,https://i.scdn.co/image/ab6761610000e5eb9fd5de5ba2ae6769e75dc318,https://open.spotify.com/artist/00PLVqZ4oaOmbI4lacLUBO,album,10,2017-01-20,day,0TEQWsxoGEfzLoORCcs78s,UB2,,0.62,0.84,0,-6.164,1,0.0476,0.0448,3.33E-5,0.122,0.33,139.978,4
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,0Dt3FbpMQwjoT5KNAw0IXR,Born To Die – Paradise Edition (Special Version),art pop,40266213,92,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,album,24,2012-01-01,day,0ZyfiFudK9Si2n2G9RkiWj,Ride,,0.373,0.686,0,-5.52,1,0.034,0.128,1.96E-6,0.383,0.189,93.763,4
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,0Dt3FbpMQwjoT5KNAw0IXR,Born To Die – Paradise Edition (Special Version),pop,40266213,92,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,album,24,2012-01-01,day,0ZyfiFudK9Si2n2G9RkiWj,Ride,,0.373,0.686,0,-5.52,1,0.034,0.128,1.96E-6,0.383,0.189,93.763,4
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,5VoeRuTrGhTbKelUfwymwu,Born To Die - The Paradise Edition,art pop,40266213,92,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,album,23,2012-01-01,day,0fBSs3fRoh1yJcne77fdu9,Video Games,,0.236,0.249,6,-9.595,0,0.0348,0.811,1.0E-6,0.087,0.181,72.847,5
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,5VoeRuTrGhTbKelUfwymwu,Born To Die - The Paradise Edition,pop,40266213,92,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,album,23,2012-01-01,day,0fBSs3fRoh1yJcne77fdu9,Video Games,,0.236,0.249,6,-9.595,0,0.0348,0.811,1.0E-6,0.087,0.181,72.847,5
00AFbqxvdDK6T1D6MQZ9c1,GLAY,0rWkjySGI1Ttr4MS7xTQNA,rare collectives vol.4,classic j-pop,590825,56,https://i.scdn.co/image/ab6761610000e5ebc200887e058b56ca63e60ead,https://open.spotify.com/artist/00AFbqxvdDK6T1D6MQZ9c1,album,21,2011-03-09,day,0nTTJ4p9lVnKdyioxAfULi,SORRY LOVE,https://p.scdn.co/mp3-preview/8cda8a76d6f201002b60d80319e824c32b199f05?cid=d636b62692f94f7ab8495b4d490e26cc,0.303,0.786,7,-4.59,1,0.0327,0.0041,1.12E-5,0.147,0.36,182.371,4
00AFbqxvdDK6T1D6MQZ9c1,GLAY,0rWkjySGI1Ttr4MS7xTQNA,rare collectives vol.4,j-pop,590825,56,https://i.scdn.co/image/ab6761610000e5ebc200887e058b56ca63e60ead,https://open.spotify.com/artist/00AFbqxvdDK6T1D6MQZ9c1,album,21,2011-03-09,day,0nTTJ4p9lVnKdyioxAfULi,SORRY LOVE,https://p.scdn.co/mp3-preview/8cda8a76d6f201002b60d80319e824c32b199f05?cid=d636b62692f94f7ab8495b4d490e26cc,0.303,0.786,7,-4.59,1,0.0327,0.0041,1.12E-5,0.147,0.36,182.371,4
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,5VoeRuTrGhTbKelUfwymwu,Born To Die - The Paradise Edition,art pop,40266213,92,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,album,23,2012-01-01,day,1FaHPLv48VjsTkPCQOH7bv,Carmen,,0.524,0.427,1,-9.57,0,0.0297,0.098,2.73E-4,0.129,0.0379,100.024,4
