artist_id,artist_name,album_id,album_name,genres,followers,popularity,link_image,url,album_type,total_tracks,release_date,release_date_precision,track_id,name,preview,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
00AFbqxvdDK6T1D6MQZ9c1,GLAY,2PiRfajA0FT9p3vv98RVnN,"UNITY ROOTS & FAMILY, AWAY",classic j-pop,590825,56,https://i.scdn.co/image/ab6761610000e5ebc200887e058b56ca63e60ead,https://open.spotify.com/artist/00AFbqxvdDK6T1D6MQZ9c1,album,13,2002-09-19,day,13DyQGa75sVyDaWMW1H9x0,夏の彼方へ(Johny the unity mix),https://p.scdn.co/mp3-preview/d3c06f01eef08401feab006fc5b6edd517f8a862?cid=d636b62692f94f7ab8495b4d490e26cc,0.515,0.357,2,-12.185,1,0.0289,0.573,4.14E-5,0.26,0.34,124.991,3
00AFbqxvdDK6T1D6MQZ9c1,GLAY,2PiRfajA0FT9p3vv98RVnN,"UNITY ROOTS & FAMILY, AWAY",j-pop,590825,56,https://i.scdn.co/image/ab6761610000e5ebc200887e058b56ca63e60ead,https://open.spotify.com/artist/00AFbqxvdDK6T1D6MQZ9c1,album,13,2002-09-19,day,13DyQGa75sVyDaWMW1H9x0,夏の彼方へ(Johny the unity mix),https://p.scdn.co/mp3-preview/d3c06f01eef08401feab006fc5b6edd517f8a862?cid=d636b62692f94f7ab8495b4d490e26cc,0.515,0.357,2,-12.185,1,0.0289,0.573,4.14E-5,0.26,0.34,124.991,3
00AFbqxvdDK6T1D6MQZ9c1,GLAY,5367NOCCC6R10c5ygWw4cy,DRIVE -GLAY complete BEST-,classic j-pop,590825,56,https://i.scdn.co/image/ab6761610000e5ebc200887e058b56ca63e60ead,https://open.spotify.com/artist/00AFbqxvdDK6T1D6MQZ9c1,album,24,2000-11-29,day,17uFmJfXKh6FtniIar38sA,pure soul,https://p.scdn.co/mp3-preview/a018f2558654c5c7bc15e9af22bc9a141e8f78fe?cid=d636b62692f94f7ab8495b4d490e26cc,0.476,0.787,2,-6.235,1,0.029,0.00901,0.0,0.138,0.58,134.073,4
00AFbqxvdDK6T1D6MQZ9c1,GLAY,5367NOCCC6R10c5ygWw4cy,DRIVE -GLAY complete BEST-,j-pop,590825,56,https://i.scdn.co/image/ab6761610000e5ebc200887e058b56ca63e60ead,https://open.spotify.com/artist/00AFbqxvdDK6T1D6MQZ9c1,album,24,2000-11-29,day,17uFmJfXKh6FtniIar38sA,pure soul,https://p.scdn.co/mp3-preview/a018f2558654c5c7bc15e9af22bc9a141e8f78fe?cid=d636b62692f94f7ab8495b4d490e26cc,0.476,0.787,2,-6.235,1,0.029,0.00901,0.0,0.138,0.58,134.073,4
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,5VoeRuTrGhTbKelUfwymwu,Born To Die - The Paradise Edition,art pop,40266213,92,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,album,23,2012-01-01,day,1Lw2xRuW5fcieRPfoskgog,This Is What Makes Us Girls,,0.534,0.842,2,-7.031,0,0.0925,0.0904,0.0388,0.203,0.441,138.004,4
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,5VoeRuTrGhTbKelUfwymwu,Born To Die - The Paradise Edition,pop,40266213,92,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,album,23,2012-01-01,day,1Lw2xRuW5fcieRPfoskgog,This Is What Makes Us Girls,,0.534,0.842,2,-7.031,0,0.0925,0.0904,0.0388,0.203,0.441,138.004,4
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,4vXt6IpMcSnqonljffWlMI,Born To Die,art pop,40266213,92,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,album,12,2012-01-30,day,1NsczXihNwzVMRLxTehCmM,Blue Jeans - Remastered 2011,,0.55,0.829,3,-4.399,1,0.0629,0.437,0.0,0.0801,0.493,117.956,4
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,4vXt6IpMcSnqonljffWlMI,Born To Die,pop,40266213,92,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,album,12,2012-01-30,day,1NsczXihNwzVMRLxTehCmM,Blue Jeans - Remastered 2011,,0.55,0.829,3,-4.399,1,0.0629,0.437,0.0,0.0801,0.493,117.956,4
00AFbqxvdDK6T1D6MQZ9c1,GLAY,5367NOCCC6R10c5ygWw4cy,DRIVE -GLAY complete BEST-,classic j-pop,590825,56,https://i.scdn.co/image/ab6761610000e5ebc200887e058b56ca63e60ead,https://open.spotify.com/artist/00AFbqxvdDK6T1D6MQZ9c1,album,24,2000-11-29,day,1qiDOmtCUtjrbtUSXxqTA2,a Boy ~ずっと忘れない~,https://p.scdn.co/mp3-preview/56298f1b674a45d1b4b642db2d74952ca34a655e?cid=d636b62692f94f7ab8495b4d490e26cc,0.539,0.823,7,-7.147,1,0.0351,0.0603,0.0,0.302,0.504,123.275,4
00AFbqxvdDK6T1D6MQZ9c1,GLAY,5367NOCCC6R10c5ygWw4cy,DRIVE -GLAY complete BEST-,j-pop,590825,56,https://i.scdn.co/image/ab6761610000e5ebc200887e058b56ca63e60ead,https://open.spotify.com/artist/00AFbqxvdDK6T1D6MQZ9c1,album,24,2000-11-29,day,1qiDOmtCUtjrbtUSXxqTA2,a Boy ~ずっと忘れない~,https://p.scdn.co/mp3-preview/56298f1b674a45d1b4b642db2d74952ca34a655e?cid=d636b62692f94f7ab8495b4d490e26cc,0.539,0.823,7,-7.147,1,0.0351,0.0603,0.0,0.302,0.504,123.275,4
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,4vXt6IpMcSnqonljffWlMI,Born To Die,art pop,40266213,92,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,album,12,2012-01-30,day,21xo9jhNSsYyNk8TRKBkY0,Diet Mountain Dew,,0.459,0.684,10,-5.971,0,0.0881,0.285,0.0,0.425,0.605,175.728,4
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,4vXt6IpMcSnqonljffWlMI,Born To Die,pop,40266213,92,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,album,12,2012-01-30,day,21xo9jhNSsYyNk8TRKBkY0,Diet Mountain Dew,,0.459,0.684,10,-5.971,0,0.0881,0.285,0.0,0.425,0.605,175.728,4
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,5VoeRuTrGhTbKelUfwymwu,Born To Die - The Paradise Edition,art pop,40266213,92,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,album,23,2012-01-01,day,24h1notzzKOcLZSdRYa7yn,Lucky Ones,,0.375,0.416,0,-7.149,1,0.0283,0.778,2.48E-6,0.23,0.271,134.923,4
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,5VoeRuTrGhTbKelUfwymwu,Born To Die - The Paradise Edition,pop,40266213,92,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,album,23,2012-01-01,day,24h1notzzKOcLZSdRYa7yn,Lucky Ones,,0.375,0.416,0,-7.149,1,0.0283,0.778,2.48E-6,0.23,0.271,134.923,4
00AFbqxvdDK6T1D6MQZ9c1,GLAY,5367NOCCC6R10c5ygWw4cy,DRIVE -GLAY complete BEST-,classic j-pop,590825,56,https://i.scdn.co/image/ab6761610000e5ebc200887e058b56ca63e60ead,https://open.spotify.com/artist/00AFbqxvdDK6T1D6MQZ9c1,album,24,2000-11-29,day,24w44HzxNvvReAqQfvDoOt,とまどい(Jet the Phantom),https://p.scdn.co/mp3-preview/924bf8bd32706754b90207a0b566f2ec668c9611?cid=d636b62692f94f7ab8495b4d490e26cc,0.361,0.73,0,-6.283,1,0.0352,0.034,0.0,0.0805,0.356,112.492,4
00AFbqxvdDK6T1D6MQZ9c1,GLAY,5367NOCCC6R10c5ygWw4cy,DRIVE -GLAY complete BEST-,j-pop,590825,56,https://i.scdn.co/image/ab6761610000e5ebc200887e058b56ca63e60ead,https://open.spotify.com/artist/00AFbqxvdDK6T1D6MQZ9c1,album,24,2000-11-29,day,24w44HzxNvvReAqQfvDoOt,とまどい(Jet the Phantom),https://p.scdn.co/mp3-preview/924bf8bd32706754b90207a0b566f2ec668c9611?cid=d636b62692f94f7ab8495b4d490e26cc,0.361,0.73,0,-6.283,1,0.0352,0.034,0.0,0.0805,0.356,112.492,4
00AFbqxvdDK6T1D6MQZ9c1,GLAY,0OqIpK1QAv6XBvqME8XKAX,THE FRUSTRATED,classic j-pop,590825,56,https://i.scdn.co/image/ab6761610000e5ebc200887e058b56ca63e60ead,https://open.spotify.com/artist/00AFbqxvdDK6T1D6MQZ9c1,album,14,2004-03-24,day,2TpXyoAcMYJgm5J2NmzXD7,"coyote, colored darkness",https://p.scdn.co/mp3-preview/6924402ccfcc195750eda6a54b326dfd9ddd1e04?cid=d636b62692f94f7ab8495b4d490e26cc,0.348,0.892,9,-5.245,1,0.0666,1.43E-4,0.0,0.135,0.383,179.939,4
00AFbqxvdDK6T1D6MQZ9c1,GLAY,0OqIpK1QAv6XBvqME8XKAX,THE FRUSTRATED,j-pop,590825,56,https://i.scdn.co/image/ab6761610000e5ebc200887e058b56ca63e60ead,https://open.spotify.com/artist/00AFbqxvdDK6T1D6MQZ9c1,album,14,2004-03-24,day,2TpXyoAcMYJgm5J2NmzXD7,"coyote, colored darkness",https://p.scdn.co/mp3-preview/6924402ccfcc195750eda6a54b326dfd9ddd1e04?cid=d636b62692f94f7ab8495b4d490e26cc,0.348,0.892,9,-5.245,1,0.0666,1.43E-4,0.0,0.135,0.383,179.939,4
00AFbqxvdDK6T1D6MQZ9c1,GLAY,0OqIpK1QAv6XBvqME8XKAX,THE FRUSTRATED,classic j-pop,590825,56,https://i.scdn.co/image/ab6761610000e5ebc200887e058b56ca63e60ead,https://open.spotify.com/artist/00AFbqxvdDK6T1D6MQZ9c1,album,14,2004-03-24,day,2Vume6RGgugx0Lj9QK2mPH,Billionaire Champagne Miles Away,https://p.scdn.co/mp3-preview/16f3fbbc8b32c314750c683c4cf54f24bd174231?cid=d636b62692f94f7ab8495b4d490e26cc,0.32,0.941,2,-4.568,1,0.0555,0.0188,0.0,0.343,0.541,172.822,4
00AFbqxvdDK6T1D6MQZ9c1,GLAY,0OqIpK1QAv6XBvqME8XKAX,THE FRUSTRATED,j-pop,590825,56,https://i.scdn.co/image/ab6761610000e5ebc200887e058b56ca63e60ead,https://open.spotify.com/artist/00AFbqxvdDK6T1D6MQZ9c1,album,14,2004-03-24,day,2Vume6RGgugx0Lj9QK2mPH,Billionaire Champagne Miles Away,https://p.scdn.co/mp3-preview/16f3fbbc8b32c314750c683c4cf54f24bd174231?cid=d636b62692f94f7ab8495b4d490e26cc,0.32,0.941,2,-4.568,1,0.0555,0.0188,0.0,0.343,0.541,172.822,4
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,3Sn5DDHo0l6lxSYVo8CqdK,Paradise,art pop,40266213,92,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,album,8,2012-11-09,day,2Yk8tgWVPzpEm0seo3xle6,Gods & Monsters,,0.352,0.725,8,-6.463,0,0.0656,0.00193,2.73E-6,0.22,0.339,189.767,4
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,3Sn5DDHo0l6lxSYVo8CqdK,Paradise,pop,40266213,92,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,album,8,2012-11-09,day,2Yk8tgWVPzpEm0seo3xle6,Gods & Monsters,,0.352,0.725,8,-6.463,0,0.0656,0.00193,2.73E-6,0.22,0.339,189.767,4
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,0Dt3FbpMQwjoT5KNAw0IXR,Born To Die – Paradise Edition (Special Version),art pop,40266213,92,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,album,24,2012-01-01,day,34l2nKu9kSj0BZahVIAT3L,Yayo,,0.506,0.201,3,-12.931,0,0.0294,0.926,4.11E-4,0.253,0.145,71.925,4
